69 SAKAMOTO,T.
69 SHETTY,J.K.
69 PONS,J.
69 MOON,J.O.
68 GALEOTTI,C.
68 DISTLER,J.
68 ROTHE,M.
68 LEONARD,J.N.
68 JU,J.
68 ZHOU,H.
68 FENG,Y.
68 UEDA,H.
68 LU,G.
68 SHIMADA,Y.
68 KALOS,M.D.
68 GU,J.
68 KURODA,M.
68 AFAR,D.E.H.
68 HWANG,S.
68 MURAKAMI,Y.
68 GAVAGAN,J.E.
68 TOMIGAHARA,Y.
68 IWAKURA,M.
68 FRANTZ,G.
68 FERNANDEZ-SALAS,E.
68 MIASNIKOV,A.
68 SONG,H.
68 CHO,M.
68 SOMANCHI,A.
68 COITO,C.
68 KOEPKE,M.
68 SHERMAN,O.K.
67 REY,M.
67 MARKS,J.D.
67 FISCHER,R.
67 HWANG,J.
67 LU,X.
67 SHOSEYOV,O.
67 TANAKA,N.
67 KONDO,M.
67 TAKARADA,Y.
67 ZHOU,L.
67 COLLINS,P.L.
67 UENO,T.
